region,year,variable,unit,value
Africa_Eastern,1975,energy-investment,million 1990$,275.863
Africa_Eastern,1975,consumer-durable,million 1990$,0.141933
Africa_Eastern,1975,value-added,million 1990$,22957.3
Africa_Eastern,1975,gross-output,million 1990$,34409.1
Africa_Eastern,1975,savings,million 1990$,1520.03
Africa_Eastern,1975,investment,million 1990$,2764.34
Africa_Eastern,1975,capital-stock,million 1990$,68185.7
Africa_Eastern,1975,depreciation,million 1990$,2841.91
Africa_Eastern,1975,energy-service-value,million 1990$,11451.8
Africa_Eastern,1975,energy-net-export,million 1990$,-2.129
Africa_Eastern,1975,materials-net-export,million 1990$,-1242.18
Africa_Eastern,1975,capital-net-export,million 1990$,1244.31
Africa_Eastern,1975,labor-wages,million 1990$,13834.7
Africa_Eastern,1975,gdp-per-capita,thous 1990$ percap,0.349633
Africa_Eastern,1975,gdp-per-capita-ppp,thous 1990$ percap,0.873977
Africa_Eastern,1975,labor-force,thous pers,36951.0
Africa_Eastern,1975,population,thous pers,98409.0
Africa_Eastern,1975,savings-rate,rate annual,0.044178
Africa_Eastern,1975,fac-share-labor,share,0.402065
Africa_Eastern,1975,fac-share-capital,share,0.265122
Africa_Eastern,1975,fac-share-energy,share,0.332814
Africa_Eastern,1975,energy-service,million 1990$,2.129
Africa_Eastern,1975,total-factor-productivity,million 1990$,0.0
Africa_Eastern,1990,GDP,million 1990$,54331.0
Africa_Eastern,1990,energy-investment,million 1990$,399.799
Africa_Eastern,1990,consumer-durable,million 1990$,878.806
Africa_Eastern,1990,value-added,million 1990$,36060.0
Africa_Eastern,1990,gross-output,million 1990$,56204.5
Africa_Eastern,1990,savings,million 1990$,1520.17
Africa_Eastern,1990,investment,million 1990$,2753.06
Africa_Eastern,1990,capital-stock,million 1990$,109169.0
Africa_Eastern,1990,depreciation,million 1990$,2841.91
Africa_Eastern,1990,energy-service-value,million 1990$,20144.5
Africa_Eastern,1990,energy-net-export,million 1990$,-1873.46
Africa_Eastern,1990,materials-net-export,million 1990$,640.568
Africa_Eastern,1990,capital-net-export,million 1990$,1232.89
Africa_Eastern,1990,labor-wages,million 1990$,23296.2
Africa_Eastern,1990,gdp-per-capita,thous 1990$ percap,0.35966
Africa_Eastern,1990,gdp-per-capita-ppp,thous 1990$ percap,0.899043
Africa_Eastern,1990,labor-force,thous pers,56117.7
Africa_Eastern,1990,population,thous pers,151062.0
Africa_Eastern,1990,savings-rate,rate annual,0.054515
Africa_Eastern,1990,fac-share-labor,share,0.41449
Africa_Eastern,1990,fac-share-capital,share,0.227096
Africa_Eastern,1990,fac-share-energy,share,0.358414
Africa_Eastern,1990,energy-service,million 1990$,21948.3
Africa_Eastern,1990,total-factor-productivity,million 1990$,0.0
Africa_Eastern,2005,GDP,million 1990$,102023.0
Africa_Eastern,2005,energy-investment,million 1990$,2676.93
Africa_Eastern,2005,consumer-durable,million 1990$,1275.89
Africa_Eastern,2005,value-added,million 1990$,70513.2
Africa_Eastern,2005,gross-output,million 1990$,102278.0
Africa_Eastern,2005,savings,million 1990$,3840.66
Africa_Eastern,2005,investment,million 1990$,8243.07
Africa_Eastern,2005,capital-stock,million 1990$,232637.0
